CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,1,77183.6,2
12347.0,2,7,4310.0,1
12348.0,75,4,1797.24,2
12349.0,19,1,1757.55,0
12350.0,310,1,334.4,3
12352.0,36,8,2506.04,2
12353.0,204,1,89.0,3
12354.0,232,1,1079.4,3
12355.0,214,1,459.4,3
12356.0,23,3,2811.43,2
12357.0,33,1,6207.67,2
12358.0,2,2,1168.06,0
12359.0,58,4,6372.58,2
12360.0,52,3,2662.06,2
12361.0,287,1,189.9,3
12362.0,3,10,5226.23,1
12363.0,110,2,552.0,3
12364.0,8,4,1313.1,0
12365.0,291,2,641.38,3
12367.0,4,1,168.9,0
12370.0,51,4,3545.69,2
12371.0,45,2,1887.96,2
12372.0,72,3,1298.04,2
12373.0,311,1,364.6,3
12374.0,25,1,742.9300000000001,0
12375.0,11,2,457.5,0
12377.0,315,2,1628.12,2
12378.0,130,1,4008.62,2
12379.0,82,2,852.24,2
12380.0,22,4,2724.81,2
12381.0,5,5,1845.31,1
12383.0,185,5,1850.56,2
12384.0,29,2,585.27,0
12386.0,338,2,401.9,3
12388.0,16,6,2780.66,1
12390.0,80,1,549.84,3
12391.0,22,1,460.89,0
12393.0,72,4,1582.6000000000001,2
12394.0,64,2,1272.48,2
12395.0,19,12,3018.63,1
12397.0,36,2,2409.9,2
12398.0,46,1,1635.6599999999999,2
12399.0,119,4,1108.65,2
12401.0,303,1,84.3,3
12402.0,323,1,225.6,3
12403.0,50,1,427.7,3
12405.0,149,1,1710.39,3
12406.0,22,2,3415.3,2
12407.0,50,5,1708.1200000000001,2
12408.0,33,5,2888.55,2
12409.0,79,3,11072.67,2
12410.0,309,2,693.3299999999999,3
12412.0,75,3,1226.88,2
12413.0,67,3,758.1,2
12414.0,217,3,562.41,2
12415.0,24,21,124914.53,1
12417.0,3,9,3649.1,1
12418.0,113,1,668.58,3
12420.0,64,1,600.39,3
12421.0,16,4,807.04,2
12422.0,96,3,803.5600000000001,2
12423.0,1,8,1859.31,1
12424.0,163,2,1760.96,2
12425.0,78,1,777.2,3
12426.0,195,1,582.73,3
12427.0,22,3,825.8,2
12428.0,26,9,7956.46,1
12429.0,9,4,3750.4,1
12430.0,43,1,256.4,3
12431.0,36,15,6487.45,1
12432.0,43,5,5059.32,2
12433.0,1,7,13375.87,1
12434.0,85,2,806.14,2
12435.0,80,2,7829.89,2
12436.0,100,1,509.01,3
12437.0,2,18,4951.41,1
12438.0,14,2,2906.85,2
12441.0,367,1,173.55,3
12442.0,3,1,172.06,0
12444.0,21,5,5005.46,1
12445.0,22,1,133.4,0
12446.0,58,1,1002.3100000000001,3
12447.0,243,1,476.49,3
12448.0,44,1,449.45,3
12449.0,22,4,4067.29,2
12450.0,156,2,197.88,3
12451.0,11,5,9035.52,1
12452.0,17,2,430.57,0
12453.0,134,1,707.09,3
12454.0,56,1,3528.34,2
12455.0,73,6,2466.86,2
12456.0,44,3,3181.04,2
12457.0,66,7,2363.23,2
12458.0,71,2,947.4,2
12461.0,94,2,826.88,2
12462.0,19,2,1189.59,0
12463.0,53,4,1344.78,2
12464.0,10,8,1212.05,1
12465.0,17,2,742.1899999999999,0
12468.0,188,2,729.5400000000001,3
12471.0,2,30,19824.05,1
12472.0,32,7,6572.11,1
12473.0,29,5,3938.5499999999997,2
12474.0,17,18,7375.79,1
12475.0,54,1,723.38,3
12476.0,16,11,6816.42,1
12477.0,23,6,13219.74,1
12478.0,4,1,680.99,0
12479.0,11,1,527.2,0
12480.0,28,4,3281.63,2
12481.0,23,10,5596.32,1
12483.0,17,8,2484.98,1
12484.0,33,6,4541.72,2
12488.0,10,3,1298.66,0
12489.0,336,1,334.93,3
12490.0,5,10,5417.93,1
12491.0,39,1,460.40000000000003,0
12492.0,63,2,263.21000000000004,3
12493.0,166,2,433.74,3
12494.0,16,7,1246.1000000000001,2
12497.0,82,1,1043.1,3
12498.0,21,3,403.70000000000005,0
12500.0,23,11,4257.82,1
12501.0,337,1,2169.39,3
12502.0,96,5,3723.87,2
12504.0,18,2,482.04999999999995,0
12506.0,233,1,73.5,3
12507.0,134,3,1304.81,2
12508.0,26,2,398.27,0
12509.0,284,1,176.5,3
12510.0,143,2,982.5699999999999,2
12512.0,66,2,138.03,3
12513.0,113,1,612.29,3
12514.0,267,1,1017.68,3
12515.0,353,1,383.7,3
12516.0,78,2,1312.06,2
12517.0,28,5,2502.84,2
12518.0,1,5,2056.89,1
12519.0,64,1,340.84,3
12520.0,79,5,2634.26,2
12521.0,143,1,599.68,3
12522.0,39,2,192.72,0
12523.0,19,11,1789.77,1
12524.0,9,8,4485.72,1
12526.0,1,3,1316.66,1
12527.0,82,3,348.71000000000004,2
12528.0,9,6,1933.48,1
12530.0,60,4,1662.28,2
12531.0,15,1,125.22,0
12532.0,30,1,349.83000000000004,0
12534.0,131,1,1089.18,3
12535.0,92,2,716.35,2
12536.0,43,3,12601.830000000002,2
12538.0,29,1,363.95,0
12539.0,22,4,5568.35,2
12540.0,20,17,13400.24,1
12541.0,30,3,981.18,2
12544.0,36,1,372.7,0
12545.0,75,2,1000.39,2
12546.0,47,2,1161.5,2
12547.0,198,2,207.79999999999998,3
12548.0,166,1,95.19999999999999,3
12550.0,79,1,964.83,3
12551.0,358,1,168.0,3
12552.0,39,2,437.82,0
12553.0,8,10,3692.28,1
12556.0,50,2,603.71,2
12557.0,16,5,11990.960000000001,1
12558.0,8,1,269.96,0
12559.0,311,2,561.71,3
12560.0,5,3,2134.01,1
12561.0,303,1,238.85,3
12562.0,8,7,3781.7400000000002,1
12564.0,261,1,456.9,3
12565.0,289,1,145.92,3
12566.0,86,1,351.65,3
12567.0,23,10,9401.28,1
12569.0,2,32,4124.69,1
12571.0,40,2,519.61,0
12572.0,9,2,1020.42,0
12573.0,227,1,160.54000000000002,3
12574.0,316,1,218.45,3
12576.0,36,5,1315.83,2
12577.0,35,3,657.8,2
12578.0,21,2,2794.51,2
12579.0,78,1,440.42,3
12580.0,247,1,415.7,3
12581.0,40,1,197.71,3
12582.0,239,2,511.36,3
12583.0,3,15,7281.38,1
12584.0,4,9,2338.15,1
12585.0,234,2,2040.1,2
12586.0,17,1,196.94000000000003,0
